Model Name,Prompt,Input Tokens,Output Tokens,Quality,Feedback,char_count,word_count,line_count,sentence_count,unique_words,avg_word_length,prompt_depth,has_code,has_json,has_markdown,has_math,has_xml,reasoning_prompt,creative_prompt,tool_usage_prompt,rag_prompt
deepseek-reasoner,what is llm?,4,8,Bad,Response is brief; consider requesting more detail; Could benefit from better structure; Could benefit from concrete examples or numerical support,12,3,1,1,3,3.0,0,False,False,False,False,False,False,False,False,False
deepseek-reasoner,What does AI stand for?,7,13,Average,Response is brief; consider requesting more detail; Could benefit from better structure; Could benefit from concrete examples or numerical support,23,5,1,1,5,3.6,0,False,False,False,False,False,False,False,False,False
deepseek-reasoner,How do you make coffee?,7,13,Average,Response is brief; consider requesting more detail; Could benefit from better structure; Could benefit from concrete examples or numerical support,23,5,1,1,5,3.6,0,False,False,False,False,False,True,False,False,False
deepseek-reasoner,What is 2+2?,4,8,Bad,Response is brief; consider requesting more detail; Could benefit from better structure; Could benefit from concrete examples or numerical support,12,4,1,1,3,2.0,0,False,False,False,True,False,False,False,False,False
deepseek-reasoner,Who invented the internet?,6,10,Bad,Response is brief; consider requesting more detail; Could benefit from better structure; Could benefit from concrete examples or numerical support,26,4,1,1,4,5.5,0,False,False,False,False,False,False,False,False,False
deepseek-reasoner,When was Python created?,6,10,Average,Response is brief; consider requesting more detail; Could benefit from better structure; Could benefit from concrete examples or numerical support,24,4,1,1,4,5.0,0,False,False,False,False,False,False,False,False,False
deepseek-reasoner,What is machine learning?,6,10,Bad,Response is brief; consider requesting more detail; Could benefit from better structure; Could benefit from concrete examples or numerical support,25,4,1,1,4,5.25,0,False,False,False,False,False,False,False,False,False
deepseek-reasoner,How tall is Mount Everest?,7,13,Average,Response is brief; consider requesting more detail; Could benefit from better structure; Could benefit from concrete examples or numerical support,26,5,1,1,5,4.2,0,False,False,False,False,False,True,False,False,False
deepseek-reasoner,What is the capital of France?,8,15,Bad,Response is brief; consider requesting more detail; Could benefit from better structure; Could benefit from concrete examples or numerical support,30,6,1,1,6,4.0,0,False,False,False,False,False,False,False,False,False
deepseek-reasoner,Can you count to 10?,7,13,Bad,Response is brief; consider requesting more detail; Could benefit from better structure; Could benefit from concrete examples or numerical support,20,5,1,1,5,3.0,0,False,False,False,False,False,False,False,False,False
